SampleID	DayE
HS00P003	pre
HS03P003	med
HS10P003	post
HS00P004	pre
HS03P004	med
HS07P004	post
HS03P005	med
HS00P010	pre
HS03P010	med
HS07P010	post
HS00P011	pre
HS03P011	med
HS07P011	post
HS00P012	pre
HS03P012	med
HS07P012	post
HS00P014	pre
HS03P014	med
HS07P014	post
HS00P019	pre
HS03P019	med
HS07P019	post
HS03P024	med
HS07P024	post
HS00P025	pre
HS03P025	med
HS07P025	post
HS03P026	med
HS07P026	post
HS00P029	pre
HS03P029	med
HS07P029	post
HS03P031	med
HS07P031	post
HS00P034	pre
HS03P034	med
HS07P034	post
HS03P035	med
HS07P035	post
HS00P036	pre
HS07P036	post
HS00P040	pre
HS03P040	med
HS07P040	post
HS00P041	pre
HS03P041	med
HS07P041	post
HS00P042	pre
HS03P042	med
HS07P042	post
HS00P044	pre
HS03P044	med
HS00P045	pre
HS03P045	med
HS07P045	post
HS00P046	pre
HS03P046	med
HS07P046	post
HS00P047	pre
HS03P047	med
HS07P047	post
HS00P048	pre
HS03P048	med
HS07P048	post
HS00P050	pre
HS03P050	med
HS07P050	post
HS00P051	pre
HS03P051	med
HS07P051	post
HS00P055	pre
HS03P055	med
HS07P055	post
HS00P056	pre
HS03P056	med
HS07P056	post
HS00P057	pre
HS03P057	med
HS07P057	post
HS00P058	pre
HS03P058	med
HS07P058	post
HS00P059	pre
HS03P059	med
HS07P059	post
HS00P061	pre
HS03P061	med
HS07P061	post
HS00P063	pre
HS03P063	med
HS07P063	post
HS00P064	pre
HS03P064	med
HS07P064	post
HS03P066	med
HS07P066	post
HS03P067	med
HS00P068	pre
HS03P068	med
HS07P068	post
HS00P071	pre
HS03P071	med
HS07P071	post
HS00P072	pre
HS03P072	med
HS07P072	post
HS00P073	pre
HS03P073	med
HS07P073	post
HS00P074	pre
HS03P074	med
HS07P074	post
HS00P075	pre
HS03P075	med
HS07P075	post
HS00P077	pre
HS03P077	med
HS07P077	post
HS00P082	pre
HS00P93	pre
HS00P96	pre
HS00P109	pre
HS00P110	pre
HS00P118	pre
HS00P137	pre
HS00P142	pre
HS00P167	pre
HS00P176	pre
HS00P179	pre
HS00P192	pre
HS00P198	pre
HS00P201	pre
