ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DS00P030	DS00P037	DS00P049	DS00P054	DS00P060	DS00P065	DS00P076	DS00P119	DS00P138	DS00P140	DS00P166	DS00P172	DS00P180	DS00P191	DS00P193	DS00P194	DS00P196	DS03P016	DS03P017	DS03P030	DS03P037	DS03P049	DS03P054	DS03P060	DS03P065	DS03P076	DS04P86	DS05P114	DS04P138	DS06P140	DS06P180	DS04P194	DS05P196	DS03P237	DS03P239	DS03P245	DS03P272	DS03P279	DS03P288	DS03P295	DS03P298	DS03P312	DS03P313
ASV_10	-12.201	12.879	2.50304863193961e-09	4.23015218797795e-07	Depleted	0	0.638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	9.066	0	0	0	2.013	0	0	0	0	0	0	0	1.589	1.178	0.973	0.584	0.413	0.542	0.111	0.037	0.057	0.024
ASV_66	5.473	12.993	1.47293461877558e-05	0.00124462975286537	Enriched	1.03	0.019	0.007	0.005	0.002	0.088	0.592	0	13.753	1.738	0.007	0.003	0.004	0	1.305	0	0.001	0.001	0	0	0.062	0	0	0.036	0.007	0.013	0	0.113	0	0	0.004	0	0.083	0	0	0.004	0.003	0.004	0.007	0.055	0.107	0	0.002	0	0
ASV_17	3.501	13.167	8.22957684920483e-05	0.00463599495838539	Enriched	1.977	0.134	0.079	5.501	0.24	0.015	0.012	24.269	0.003	0.024	0.001	0.012	0.032	0	0.104	0	0.139	0.465	2.714	0.091	0.166	0.114	0.594	0.061	0.007	0.09	1.042	0.018	0.011	0.026	0	0.021	0.009	0.184	0.094	0.004	0.061	0.009	0.769	0.013	0.008	0	0.011	0.071	0.021
ASV_158	-6.023	11.911	0.000123365161370441	0.00521217806790114	Depleted	0.008	0.316	0	0.008	0	0.003	0	0	0.013	0	0	0	0	0.002	0	0.102	0.009	0	0	0	0.049	0	0.011	0.036	0.005	0	0	0.004	0.748	0.36	0	0	0	0	0.053	0.123	0.176	0.111	0.141	1.118	5.206	0	0.041	0.041	0
ASV_98	5.335	13.127	0.000214161324516866	0.00723865276867006	Enriched	1.015	0.037	0.087	0.103	0.002	0.915	0	0	0	12.625	0.004	0.014	0.001	0.015	3.482	0	0	0.013	0	0.149	0.029	0.097	0.004	0.641	0.017	0	0.001	0	0.008	0	0.003	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_107	-6.231	14.377	0.000404696554549046	0.0103212367957781	Depleted	0.058	1.721	0.79	0.046	0.002	0.003	0.009	0	0.003	0	0	0	0	0.002	0	0.004	0	0	0.131	0.005	0.019	0.451	0.092	0	0.005	0	0	0.001	0.021	0	0	0	0	0	1.911	41.14	0.207	0.109	0.329	0.189	0.189	0	0	0	0.067
ASV_105	-5.475	14.877	0.000427506849529271	0.0103212367957781	Depleted	0.085	1.071	0.072	0.256	0	0.072	0.264	0.015	0.001	0.154	0	0	0	0.009	0.378	0.004	0.211	0.003	0.001	0	0.002	0.069	0.024	0.254	0	13.531	0	0	0.113	0	0	0	0	0	0	0.094	0.148	1.358	0.715	8.074	0.802	0	0.468	2.179	0.004
ASV_90	3.1	12.23	0.000691659920353214	0.0146113158174616	Enriched	0.794	0.079	0.121	0.023	8.788	0.098	0.089	0.012	0.29	0.021	0.004	0.083	1.54	0	0.001	0.046	0.111	2.263	0.011	0.067	0.065	0.102	0.1	0.501	0.393	0.001	0.004	0.223	0.143	0	0.03	0.001	0.004	0.246	0	0.053	0.052	0	0.044	0.004	0.001	0	0	0	0.017
ASV_85	-2.833	12.947	0.000971293189704659	0.0165340625547801	Depleted	0.131	0.553	0.032	0.026	0.017	0.053	0.028	0.052	0.074	0.246	0.128	0.001	0	0.019	0.33	1.156	0.014	0.031	0.02	0.192	0.531	0.036	0.026	0.026	0.235	0.01	0.071	7.009	0.024	0.376	0.037	0.225	0.104	0.807	2.677	0.05	0.259	0.427	0.229	0.185	0.123	0.034	0.138	0.512	0.038
ASV_136	-4.705	13.437	0.000978346896732548	0.0165340625547801	Depleted	0.05	0.902	0.012	0.01	0.009	0.062	0	0.066	0.089	0	0.058	0.001	0	0	0.003	0	0	0.004	0.531	0.046	0	0	0.021	0.006	0.065	0	0.067	0.047	0.001	12.085	0.22	0	0	0.079	9.062	0.027	0.106	0.036	0.481	0.435	0.681	0	0	0	0
