unifrac	DGpre	DEpost	HGpre	HEmed	HEpost	HSpost	HSmed	IEmed	ISpre	ISpost	IGpre	DEmed	IEpost	DSpre	HSpre	ISmed	DSpost	DSmed
DGpre	0	0.174	0.190	0.240	0.254	0.166	0.154	0.210	0.261	0.230	0.240	0.162	0.201	0.302	0.195	0.280	0.258	0.328
DEpost	0.174	0	0.160	0.176	0.177	0.152	0.158	0.168	0.225	0.255	0.217	0.159	0.186	0.336	0.234	0.251	0.248	0.340
HGpre	0.190	0.160	0	0.100	0.123	0.138	0.140	0.155	0.170	0.219	0.170	0.204	0.166	0.332	0.220	0.200	0.252	0.309
HEmed	0.240	0.176	0.100	0	0.104	0.161	0.153	0.169	0.149	0.226	0.199	0.199	0.169	0.363	0.259	0.202	0.282	0.331
HEpost	0.254	0.177	0.123	0.104	0	0.195	0.182	0.176	0.186	0.244	0.169	0.221	0.205	0.373	0.270	0.214	0.319	0.331
HSpost	0.166	0.152	0.138	0.161	0.195	0	0.142	0.144	0.212	0.255	0.180	0.196	0.170	0.305	0.184	0.213	0.201	0.305
HSmed	0.154	0.158	0.140	0.153	0.182	0.142	0	0.185	0.201	0.155	0.204	0.159	0.204	0.302	0.199	0.209	0.224	0.308
IEmed	0.210	0.168	0.155	0.169	0.176	0.144	0.185	0	0.244	0.270	0.157	0.219	0.189	0.376	0.272	0.263	0.271	0.329
ISpre	0.261	0.225	0.170	0.149	0.186	0.212	0.201	0.244	0	0.234	0.250	0.277	0.225	0.393	0.280	0.211	0.327	0.382
ISpost	0.230	0.255	0.219	0.226	0.244	0.255	0.155	0.270	0.234	0	0.265	0.235	0.251	0.323	0.246	0.211	0.329	0.319
IGpre	0.240	0.217	0.170	0.199	0.169	0.180	0.204	0.157	0.250	0.265	0	0.283	0.204	0.385	0.272	0.245	0.288	0.322
DEmed	0.162	0.159	0.204	0.199	0.221	0.196	0.159	0.219	0.277	0.235	0.283	0	0.224	0.362	0.272	0.309	0.264	0.370
IEpost	0.201	0.186	0.166	0.169	0.205	0.170	0.204	0.189	0.225	0.251	0.204	0.224	0	0.354	0.254	0.257	0.269	0.332
DSpre	0.302	0.336	0.332	0.363	0.373	0.305	0.302	0.376	0.393	0.323	0.385	0.362	0.354	0	0.169	0.303	0.260	0.245
HSpre	0.195	0.234	0.220	0.259	0.270	0.184	0.199	0.272	0.280	0.246	0.272	0.272	0.254	0.169	0	0.214	0.209	0.239
ISmed	0.280	0.251	0.200	0.202	0.214	0.213	0.209	0.263	0.211	0.211	0.245	0.309	0.257	0.303	0.214	0	0.310	0.340
DSpost	0.258	0.248	0.252	0.282	0.319	0.201	0.224	0.271	0.327	0.329	0.288	0.264	0.269	0.260	0.209	0.310	0	0.277
DSmed	0.328	0.340	0.309	0.331	0.331	0.305	0.308	0.329	0.382	0.319	0.322	0.370	0.332	0.245	0.239	0.340	0.277	0
