euclidean	DGpre	DEmed	DSmed	HSpre	HSmed	HSpost	HGpre	HEmed	HEpost	ISmed	ISpost	ISpre	DSpost	DEpost	IEmed	IEpost	IGpre	DSpre
DGpre	0	10.6	12.5	12.2	12.4	11.9	11.8	11.3	10.7	12.4	11.7	13.1	11.4	12.1	11.6	11.4	11.0	13.5
DEmed	10.6	0	14.1	13.8	13.5	13.0	13.4	13.0	12.4	14.1	13.5	14.1	13.0	12.7	13.0	12.5	12.4	15.0
DSmed	12.5	14.1	0	8.60	10.0	10.4	10.00	10.4	11.3	12.1	11.4	12.5	10.8	11.9	12.0	13.5	12.8	12.5
HSpre	12.2	13.8	8.60	0	6.86	7.62	8.60	8.72	10.1	10.3	9.85	10.8	10.0	11.1	11.8	13.5	12.4	12.3
HSmed	12.4	13.5	10.0	6.86	0	7.42	9.22	8.89	10.4	10.1	9.90	11.4	11.1	11.0	11.9	13.2	12.4	13.0
HSpost	11.9	13.0	10.4	7.62	7.42	0	9.59	9.70	9.54	9.64	9.33	10.3	10.3	11.5	11.2	12.8	12.1	12.7
HGpre	11.8	13.4	10.00	8.60	9.22	9.59	0	6.00	8.06	11.1	10.6	11.9	10.8	10.8	11.5	12.5	12.2	13.0
HEmed	11.3	13.0	10.4	8.72	8.89	9.70	6.00	0	8.06	11.1	10.4	11.8	10.8	10.7	10.8	12.0	11.9	13.0
HEpost	10.7	12.4	11.3	10.1	10.4	9.54	8.06	8.06	0	11.2	11.0	11.9	10.9	11.2	11.2	11.5	11.8	12.8
ISmed	12.4	14.1	12.1	10.3	10.1	9.64	11.1	11.1	11.2	0	9.27	10.6	11.7	13.3	12.4	13.2	12.8	11.9
ISpost	11.7	13.5	11.4	9.85	9.90	9.33	10.6	10.4	11.0	9.27	0	9.85	10.8	12.3	11.2	12.5	12.0	12.3
ISpre	13.1	14.1	12.5	10.8	11.4	10.3	11.9	11.8	11.9	10.6	9.85	0	11.4	12.6	12.2	13.4	13.1	13.3
DSpost	11.4	13.0	10.8	10.0	11.1	10.3	10.8	10.8	10.9	11.7	10.8	11.4	0	11.6	11.0	12.8	12.0	12.2
DEpost	12.1	12.7	11.9	11.1	11.0	11.5	10.8	10.7	11.2	13.3	12.3	12.6	11.6	0	11.8	13.0	12.6	14.5
IEmed	11.6	13.0	12.0	11.8	11.9	11.2	11.5	10.8	11.2	12.4	11.2	12.2	11.0	11.8	0	10.3	11.2	13.3
IEpost	11.4	12.5	13.5	13.5	13.2	12.8	12.5	12.0	11.5	13.2	12.5	13.4	12.8	13.0	10.3	0	11.1	14.5
IGpre	11.0	12.4	12.8	12.4	12.4	12.1	12.2	11.9	11.8	12.8	12.0	13.1	12.0	12.6	11.2	11.1	0	13.7
DSpre	13.5	15.0	12.5	12.3	13.0	12.7	13.0	13.0	12.8	11.9	12.3	13.3	12.2	14.5	13.3	14.5	13.7	0
