bray_curtis_binary	DGpre	DEmed	DEpost	DSpre	DSmed	DSpost	HGpre	HEmed	HEpost	HSpre	HSmed	HSpost	IGpre	IEmed	IEpost	ISpre	ISmed	ISpost
DGpre	0	0.0579	0.0733	0.0924	0.0757	0.065	0.0672	0.0618	0.0561	0.0707	0.0747	0.0685	0.062	0.0673	0.0671	0.0851	0.0757	0.0678
DEmed	0.0579	0	0.0816	0.117	0.0985	0.0852	0.0878	0.0824	0.0768	0.0921	0.0896	0.0833	0.0795	0.0868	0.0818	0.0995	0.100	0.092
DEpost	0.0733	0.0816	0	0.105	0.0671	0.0652	0.0552	0.0545	0.0603	0.0577	0.0577	0.063	0.0792	0.0685	0.0844	0.0771	0.0864	0.0738
DSpre	0.0924	0.117	0.105	0	0.0755	0.0738	0.0815	0.0809	0.0793	0.0724	0.0813	0.078	0.0953	0.0893	0.107	0.0869	0.0696	0.0746
DSmed	0.0757	0.0985	0.0671	0.0755	0	0.0554	0.0459	0.0498	0.0592	0.0338	0.0465	0.0498	0.0795	0.069	0.0894	0.0737	0.0694	0.0609
DSpost	0.065	0.0852	0.0652	0.0738	0.0554	0	0.0549	0.0552	0.0562	0.0471	0.0584	0.0504	0.0719	0.0593	0.082	0.0633	0.0657	0.056
HGpre	0.0672	0.0878	0.0552	0.0815	0.0459	0.0549	0	0.0165	0.03	0.0335	0.0388	0.042	0.071	0.0627	0.076	0.0664	0.0576	0.0529
HEmed	0.0618	0.0824	0.0545	0.0809	0.0498	0.0552	0.0165	0	0.0301	0.0345	0.0362	0.0432	0.0685	0.0553	0.0705	0.0658	0.0578	0.0512
HEpost	0.0561	0.0768	0.0603	0.0793	0.0592	0.0562	0.03	0.0301	0	0.0473	0.05	0.0422	0.0677	0.0602	0.0648	0.0669	0.0598	0.0579
HSpre	0.0707	0.0921	0.0577	0.0724	0.0338	0.0471	0.0335	0.0345	0.0473	0	0.0213	0.0264	0.0735	0.0661	0.0871	0.054	0.0498	0.0451
HSmed	0.0747	0.0896	0.0577	0.0813	0.0465	0.0584	0.0388	0.0362	0.05	0.0213	0	0.0252	0.0746	0.0672	0.0845	0.0605	0.0479	0.046
HSpost	0.0685	0.0833	0.063	0.078	0.0498	0.0504	0.042	0.0432	0.0422	0.0264	0.0252	0	0.0704	0.0601	0.0802	0.0498	0.0437	0.0409
IGpre	0.062	0.0795	0.0792	0.0953	0.0795	0.0719	0.071	0.0685	0.0677	0.0735	0.0746	0.0704	0	0.0633	0.063	0.085	0.0816	0.0717
IEmed	0.0673	0.0868	0.0685	0.0893	0.069	0.0593	0.0627	0.0553	0.0602	0.0661	0.0672	0.0601	0.0633	0	0.0542	0.0723	0.0758	0.0611
IEpost	0.0671	0.0818	0.0844	0.107	0.0894	0.082	0.076	0.0705	0.0648	0.0871	0.0845	0.0802	0.063	0.0542	0	0.0892	0.0867	0.0778
ISpre	0.0851	0.0995	0.0771	0.0869	0.0737	0.0633	0.0664	0.0658	0.0669	0.054	0.0605	0.0498	0.085	0.0723	0.0892	0	0.0544	0.0467
ISmed	0.0757	0.100	0.0864	0.0696	0.0694	0.0657	0.0576	0.0578	0.0598	0.0498	0.0479	0.0437	0.0816	0.0758	0.0867	0.0544	0	0.0414
ISpost	0.0678	0.092	0.0738	0.0746	0.0609	0.056	0.0529	0.0512	0.0579	0.0451	0.046	0.0409	0.0717	0.0611	0.0778	0.0467	0.0414	0
