jaccard	DGpre	DEmed	DEpost	DSpre	DSmed	DSpost	HGpre	HEmed	HEpost	HSpre	HSmed	HSpost	IGpre	IEmed	IEpost	ISpre	ISmed	ISpost
DGpre	0	0.482	0.515	0.675	0.692	0.647	0.511	0.549	0.569	0.579	0.559	0.570	0.584	0.564	0.520	0.626	0.638	0.628
DEmed	0.482	0	0.486	0.735	0.724	0.665	0.515	0.515	0.510	0.624	0.555	0.575	0.592	0.542	0.527	0.616	0.638	0.584
DEpost	0.515	0.486	0	0.729	0.713	0.649	0.481	0.489	0.495	0.606	0.525	0.516	0.566	0.553	0.510	0.571	0.591	0.596
DSpre	0.675	0.735	0.729	0	0.587	0.614	0.674	0.695	0.725	0.534	0.628	0.646	0.720	0.711	0.740	0.725	0.673	0.661
DSmed	0.692	0.724	0.713	0.587	0	0.606	0.654	0.668	0.704	0.568	0.603	0.630	0.701	0.715	0.720	0.716	0.663	0.642
DSpost	0.647	0.665	0.649	0.614	0.606	0	0.612	0.624	0.667	0.557	0.576	0.573	0.672	0.674	0.671	0.690	0.632	0.649
HGpre	0.511	0.515	0.481	0.674	0.654	0.612	0	0.370	0.406	0.530	0.461	0.487	0.521	0.522	0.512	0.497	0.547	0.536
HEmed	0.549	0.515	0.489	0.695	0.668	0.624	0.370	0	0.362	0.550	0.466	0.495	0.539	0.515	0.495	0.479	0.546	0.540
HEpost	0.569	0.510	0.495	0.725	0.704	0.667	0.406	0.362	0	0.610	0.527	0.534	0.527	0.520	0.520	0.513	0.559	0.569
HSpre	0.579	0.624	0.606	0.534	0.568	0.557	0.530	0.550	0.610	0	0.465	0.486	0.630	0.647	0.637	0.605	0.534	0.563
HSmed	0.559	0.555	0.525	0.628	0.603	0.576	0.461	0.466	0.527	0.465	0	0.410	0.572	0.584	0.568	0.544	0.530	0.502
HSpost	0.570	0.575	0.516	0.646	0.630	0.573	0.487	0.495	0.534	0.486	0.410	0	0.559	0.589	0.561	0.545	0.526	0.526
IGpre	0.584	0.592	0.566	0.720	0.701	0.672	0.521	0.539	0.527	0.630	0.572	0.559	0	0.474	0.549	0.605	0.608	0.622
IEmed	0.564	0.542	0.553	0.711	0.715	0.674	0.522	0.515	0.520	0.647	0.584	0.589	0.474	0	0.504	0.614	0.633	0.617
IEpost	0.520	0.527	0.510	0.740	0.720	0.671	0.512	0.495	0.520	0.637	0.568	0.561	0.549	0.504	0	0.578	0.627	0.583
ISpre	0.626	0.616	0.571	0.725	0.716	0.690	0.497	0.479	0.513	0.605	0.544	0.545	0.605	0.614	0.578	0	0.589	0.540
ISmed	0.638	0.638	0.591	0.673	0.663	0.632	0.547	0.546	0.559	0.534	0.530	0.526	0.608	0.633	0.627	0.589	0	0.548
ISpost	0.628	0.584	0.596	0.661	0.642	0.649	0.536	0.540	0.569	0.563	0.502	0.526	0.622	0.617	0.583	0.540	0.548	0
