manhatten	DGpre	DEmed	DEpost	DSpre	DSmed	DSpost	HGpre	HEmed	HEpost	HSpre	HSmed	HSpost	IGpre	IEmed	IEpost	ISpre	ISmed	ISpost
DGpre	0	112.0	147.0	182.0	156.0	131.0	140.0	128.0	115.0	148.0	155.0	142.0	122.0	134.0	131.0	172.0	153.0	137.0
DEmed	112.0	0	161.0	226.0	200.0	169.0	180.0	168.0	155.0	190.0	183.0	170.0	154.0	170.0	157.0	198.0	199.0	183.0
DEpost	147.0	161.0	0	211.0	141.0	134.0	117.0	115.0	126.0	123.0	122.0	133.0	159.0	139.0	168.0	159.0	178.0	152.0
DSpre	182.0	226.0	211.0	0	156.0	149.0	170.0	168.0	163.0	152.0	169.0	162.0	188.0	178.0	209.0	176.0	141.0	151.0
DSmed	156.0	200.0	141.0	156.0	0	117.0	100.0	108.0	127.0	74.0	101.0	108.0	164.0	144.0	183.0	156.0	147.0	129.0
DSpost	131.0	169.0	134.0	149.0	117.0	0	117.0	117.0	118.0	101.0	124.0	107.0	145.0	121.0	164.0	131.0	136.0	116.0
HGpre	140.0	180.0	117.0	170.0	100.0	117.0	0	36.0	65.0	74.0	85.0	92.0	148.0	132.0	157.0	142.0	123.0	113.0
HEmed	128.0	168.0	115.0	168.0	108.0	117.0	36.0	0	65.0	76.0	79.0	94.0	142.0	116.0	145.0	140.0	123.0	109.0
HEpost	115.0	155.0	126.0	163.0	127.0	118.0	65.0	65.0	0	103.0	108.0	91.0	139.0	125.0	132.0	141.0	126.0	122.0
HSpre	148.0	190.0	123.0	152.0	74.0	101.0	74.0	76.0	103.0	0	47.0	58.0	154.0	140.0	181.0	116.0	107.0	97.0
HSmed	155.0	183.0	122.0	169.0	101.0	124.0	85.0	79.0	108.0	47.0	0	55.0	155.0	141.0	174.0	129.0	102.0	98.0
HSpost	142.0	170.0	133.0	162.0	108.0	107.0	92.0	94.0	91.0	58.0	55.0	0	146.0	126.0	165.0	106.0	93.0	87.0
IGpre	122.0	154.0	159.0	188.0	164.0	145.0	148.0	142.0	139.0	154.0	155.0	146.0	0	126.0	123.0	172.0	165.0	145.0
IEmed	134.0	170.0	139.0	178.0	144.0	121.0	132.0	116.0	125.0	140.0	141.0	126.0	126.0	0	107.0	148.0	155.0	125.0
IEpost	131.0	157.0	168.0	209.0	183.0	164.0	157.0	145.0	132.0	181.0	174.0	165.0	123.0	107.0	0	179.0	174.0	156.0
ISpre	172.0	198.0	159.0	176.0	156.0	131.0	142.0	140.0	141.0	116.0	129.0	106.0	172.0	148.0	179.0	0	113.0	97.0
ISmed	153.0	199.0	178.0	141.0	147.0	136.0	123.0	123.0	126.0	107.0	102.0	93.0	165.0	155.0	174.0	113.0	0	86.0
ISpost	137.0	183.0	152.0	151.0	129.0	116.0	113.0	109.0	122.0	97.0	98.0	87.0	145.0	125.0	156.0	97.0	86.0	0
