bray_curtis	DGpre	DEmed	DEpost	HGpre	HEmed	HEpost	HSmed	HSpost	HSpre	ISpre	IEpost	ISpost	IGpre	IEmed	ISmed	DSpre	DSpost	DSmed
DGpre	0	0.317	0.347	0.343	0.378	0.398	0.388	0.399	0.408	0.456	0.351	0.458	0.412	0.393	0.468	0.509	0.478	0.529
DEmed	0.317	0	0.321	0.347	0.347	0.342	0.384	0.404	0.454	0.445	0.358	0.412	0.421	0.371	0.468	0.581	0.498	0.568
DEpost	0.347	0.321	0	0.316	0.324	0.329	0.356	0.348	0.435	0.400	0.342	0.424	0.394	0.382	0.420	0.574	0.480	0.554
HGpre	0.343	0.347	0.316	0	0.227	0.255	0.299	0.322	0.361	0.331	0.344	0.366	0.352	0.353	0.376	0.508	0.441	0.486
HEmed	0.378	0.347	0.324	0.227	0	0.221	0.304	0.329	0.380	0.315	0.329	0.370	0.369	0.346	0.375	0.533	0.454	0.502
HEpost	0.398	0.342	0.329	0.255	0.221	0	0.358	0.364	0.439	0.345	0.351	0.398	0.358	0.351	0.387	0.568	0.500	0.543
HSmed	0.388	0.384	0.356	0.299	0.304	0.358	0	0.258	0.303	0.373	0.396	0.335	0.401	0.413	0.361	0.458	0.404	0.431
HSpost	0.399	0.404	0.348	0.322	0.329	0.364	0.258	0	0.321	0.375	0.390	0.356	0.388	0.418	0.357	0.477	0.401	0.460
HSpre	0.408	0.454	0.435	0.361	0.380	0.439	0.303	0.321	0	0.433	0.467	0.392	0.459	0.478	0.364	0.364	0.386	0.396
ISpre	0.456	0.445	0.400	0.331	0.315	0.345	0.373	0.375	0.433	0	0.406	0.370	0.434	0.443	0.417	0.568	0.526	0.558
IEpost	0.351	0.358	0.342	0.344	0.329	0.351	0.396	0.390	0.467	0.406	0	0.412	0.378	0.337	0.457	0.587	0.505	0.562
ISpost	0.458	0.412	0.424	0.366	0.370	0.398	0.335	0.356	0.392	0.370	0.412	0	0.451	0.446	0.378	0.494	0.481	0.473
IGpre	0.412	0.421	0.394	0.352	0.369	0.358	0.401	0.388	0.459	0.434	0.378	0.451	0	0.310	0.436	0.562	0.506	0.540
IEmed	0.393	0.371	0.382	0.353	0.346	0.351	0.413	0.418	0.478	0.443	0.337	0.446	0.310	0	0.463	0.551	0.508	0.557
ISmed	0.468	0.468	0.420	0.376	0.375	0.387	0.361	0.357	0.364	0.417	0.457	0.378	0.436	0.463	0	0.507	0.462	0.495
DSpre	0.509	0.581	0.574	0.508	0.533	0.568	0.458	0.477	0.364	0.568	0.587	0.494	0.562	0.551	0.507	0	0.443	0.415
DSpost	0.478	0.498	0.480	0.441	0.454	0.500	0.404	0.401	0.386	0.526	0.505	0.481	0.506	0.508	0.462	0.443	0	0.435
DSmed	0.529	0.568	0.554	0.486	0.502	0.543	0.431	0.460	0.396	0.558	0.562	0.473	0.540	0.557	0.495	0.415	0.435	0
