jaccard_binary	DGpre	DEmed	DEpost	DSpre	DSmed	DSpost	HGpre	HEmed	HEpost	HSpre	HSmed	HSpost	IGpre	IEmed	IEpost	ISpre	ISmed	ISpost
DGpre	0	0.109	0.137	0.169	0.141	0.122	0.126	0.116	0.106	0.132	0.139	0.128	0.117	0.126	0.126	0.157	0.141	0.127
DEmed	0.109	0	0.151	0.209	0.179	0.157	0.161	0.152	0.143	0.169	0.164	0.154	0.147	0.160	0.151	0.181	0.182	0.169
DEpost	0.137	0.151	0	0.190	0.126	0.122	0.105	0.103	0.114	0.109	0.109	0.119	0.147	0.128	0.156	0.143	0.159	0.137
DSpre	0.169	0.209	0.190	0	0.140	0.137	0.151	0.150	0.147	0.135	0.150	0.145	0.174	0.164	0.193	0.160	0.130	0.139
DSmed	0.141	0.179	0.126	0.140	0	0.105	0.0878	0.0949	0.112	0.0654	0.0889	0.0949	0.147	0.129	0.164	0.137	0.130	0.115
DSpost	0.122	0.157	0.122	0.137	0.105	0	0.104	0.105	0.106	0.09	0.110	0.0961	0.134	0.112	0.152	0.119	0.123	0.106
HGpre	0.126	0.161	0.105	0.151	0.0878	0.104	0	0.0324	0.0582	0.0648	0.0747	0.0807	0.133	0.118	0.141	0.125	0.109	0.100
HEmed	0.116	0.152	0.103	0.150	0.0949	0.105	0.0324	0	0.0585	0.0668	0.0699	0.0827	0.128	0.105	0.132	0.123	0.109	0.0975
HEpost	0.106	0.143	0.114	0.147	0.112	0.106	0.0582	0.0585	0	0.0903	0.0952	0.081	0.127	0.114	0.122	0.125	0.113	0.110
HSpre	0.132	0.169	0.109	0.135	0.0654	0.09	0.0648	0.0668	0.0903	0	0.0418	0.0514	0.137	0.124	0.160	0.102	0.0949	0.0864
HSmed	0.139	0.164	0.109	0.150	0.0889	0.110	0.0747	0.0699	0.0952	0.0418	0	0.0492	0.139	0.126	0.156	0.114	0.0914	0.088
HSpost	0.128	0.154	0.119	0.145	0.0949	0.0961	0.0807	0.0827	0.081	0.0514	0.0492	0	0.132	0.113	0.149	0.0949	0.0838	0.0786
IGpre	0.117	0.147	0.147	0.174	0.147	0.134	0.133	0.128	0.127	0.137	0.139	0.132	0	0.119	0.118	0.157	0.151	0.134
IEmed	0.126	0.160	0.128	0.164	0.129	0.112	0.118	0.105	0.114	0.124	0.126	0.113	0.119	0	0.103	0.135	0.141	0.115
IEpost	0.126	0.151	0.156	0.193	0.164	0.152	0.141	0.132	0.122	0.160	0.156	0.149	0.118	0.103	0	0.164	0.160	0.144
ISpre	0.157	0.181	0.143	0.160	0.137	0.119	0.125	0.123	0.125	0.102	0.114	0.0949	0.157	0.135	0.164	0	0.103	0.0892
ISmed	0.141	0.182	0.159	0.130	0.130	0.123	0.109	0.109	0.113	0.0949	0.0914	0.0838	0.151	0.141	0.160	0.103	0	0.0796
ISpost	0.127	0.169	0.137	0.139	0.115	0.106	0.100	0.0975	0.110	0.0864	0.088	0.0786	0.134	0.115	0.144	0.0892	0.0796	0
