ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HS00P003	HS00P004	HS00P010	HS00P011	HS00P012	HS00P014	HS00P019	HS00P025	HS00P029	HS00P034	HS00P036	HS00P040	HS00P041	HS00P042	HS00P044	HS00P045	HS00P046	HS00P047	HS00P048	HS00P050	HS00P051	HS00P055	HS00P056	HS00P057	HS00P058	HS00P059	HS00P061	HS00P063	HS00P064	HS00P068	HS00P071	HS00P072	HS00P073	HS00P074	HS00P075	HS00P077	HS00P082	HS00P93	HS00P96	HS00P109	HS00P110	HS00P118	HS00P137	HS00P142	HS00P167	HS00P176	HS00P179	HS00P192	HS00P198	HS00P201	DS00P030	DS00P037	DS00P049	DS00P054	DS00P060	DS00P065	DS00P076	DS00P119	DS00P138	DS00P140	DS00P166	DS00P172	DS00P180	DS00P191	DS00P193	DS00P194	DS00P196
ASV_66	-4.578	12.194	1.77624777201897e-07	3.00185873471206e-05	Depleted	0.055	1.03	0.056	0	0	0.614	0	0.109	0.022	0	0	0.008	0.007	0	0	0	0.139	0.195	0.238	0.073	0.026	0.108	0	0	0.002	0.023	0.002	0	0.028	0.014	0.017	0	0.018	0.461	0.159	0.009	0.131	0.12	0.092	0.027	0.001	0	0	0.004	0	0	0	0.015	0.003	0	0.007	0.001	0.007	0.005	0.002	0.088	0.592	0	13.753	1.738	0.007	0.003	0.004	0	1.305	0	0.001	0.001	0
ASV_10	13.082	14.016	2.81401195245797e-06	0.000225211181382576	Enriched	1.566	0	0.003	0.003	0	0.035	0.426	0.066	0	0	0	0	0	0	0	0	0	0	0	0.744	0	62.752	0	0	1.706	0	4.073	0.015	0.003	0	0	0	0.001	0	8.434	0.002	0.001	0	0	0	0	0	0	0	0.002	0.008	0.005	0.003	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_98	-5.297	12.912	3.99783162217591e-06	0.000225211181382576	Depleted	0.048	1.015	0	0	0	0	0	0.027	0.68	0	0	0.125	0	0	0.182	0	0	0.076	0.846	0	0	0.011	0.131	0	0.034	0.183	0	0	0	0	0	0	0.001	0	0	0.004	0.035	0.009	0.002	0.004	0	0	0	0	0.002	0	0.001	0.013	0	0.036	0.004	0	0.087	0.103	0.002	0.915	0	0	0	12.625	0.004	0.014	0.001	0.015	3.482	0	0	0.013	0
ASV_203	-2.453	12.986	0.000287589265966845	0.0121506464870992	Depleted	0.178	0.894	0.008	0.011	0.013	0.019	0	0.14	0.04	0.073	0.039	0.024	0.02	0.007	0.028	0.053	0.045	0.191	0.023	0.037	0.02	0.023	0.001	0.017	0.021	0.091	0.006	0.076	0.027	0	0.002	0.025	0.301	0.007	0.04	0.034	0.356	0.03	0.005	1.597	0.007	0.192	0.007	0.024	0.003	0.008	0.688	1.564	0.068	0.273	1.012	1.626	0.007	0.103	0.019	0.146	0.046	0.095	0.019	1.861	1.861	2.235	0.162	5.095	0.541	0.687	0.99	1.332	0.003
ASV_176	-2.69	11.834	0.000472340119949334	0.0159650960542875	Depleted	0.103	0.713	0.008	0.017	0	0.003	0.003	0.005	0.003	0.016	0.009	0.004	0	0.012	0.007	0.027	0	0	0.021	0.055	0.04	0.363	0.019	0.02	0.086	0.007	0.076	0.003	0.012	0.003	0.075	0.004	0.012	0.017	2.186	0.007	0.004	0.035	0.027	0	0.011	0.446	0.286	0	1.096	0.09	0.001	0.001	0.014	0.011	0	0	0.005	0	2.559	0.003	0.218	0.003	0.082	0.003	0.346	0.008	3.074	0.011	0	0.699	0.001	0.005	5.098
ASV_20	3.093	13.685	0.00141594161141096	0.0398823553880754	Enriched	1.116	0.18	0.114	0.208	0.254	0.304	0.007	0.22	1.247	0.348	0.166	0.16	0.029	1.004	1.253	0.571	0.841	0.09	0.192	2.827	0.011	0.069	0.025	0.218	10.679	0.039	26.686	0.093	0.721	0.094	0.084	0.345	0.221	2.36	0.742	1.276	0.121	0.527	0.458	0	0.001	0	0.089	0.005	0.002	0.087	0	0.001	0.94	0.005	0	0.072	0.376	0.164	0.401	0.074	1.423	0.038	0.075	0.001	0.052	0.024	0	0	0.001	0.07	0	0.35	0.004
ASV_67	-2.619	14.721	0.00175163948321821	0.0422895818091255	Depleted	0.657	3.109	0	0	0.07	0.071	0	0.002	0.002	0.065	2.228	1.479	0.049	0.017	0.041	0.005	0.015	0.14	0.19	0.002	0.002	0.095	0.071	0.054	0.02	1.913	0.009	0.032	0.018	0.002	0	0.004	0.031	0.053	0.264	0.566	0.58	4.153	0.071	7.702	0.003	0.003	0.008	0.732	0	0.003	0.813	7.357	0.001	0.002	3.89	0.003	0.092	0.595	0	10.166	0.284	0.171	0.038	0.073	0.006	8.997	0.003	27.127	0.044	0.726	0	4.526	0.003
ASV_109	-2.072	10.782	0.00254886762376284	0.0489836374433443	Depleted	0.075	0.161	0.002	0.001	0.046	0.04	0.003	0.014	0.005	0.008	0.007	0.069	0.007	0.017	0.014	0.021	0.004	0.006	0.019	0.129	0.006	0.021	0.177	0.418	0.214	0.014	0.042	0.095	0.027	0.108	0.012	0.015	0.085	0.198	0.159	0.627	0.304	0.143	0.174	0	0.001	0	0.471	0.001	0	0	0.001	0	0	0.019	0.001	0.014	0.012	0.005	0.007	0.378	0.007	0.321	0.069	0	0.023	0	0	1.698	0.01	0.036	0.03	0.057	0.085
ASV_177	3.31	9.323	0.00260859607686449	0.0489836374433443	Enriched	0.051	0.005	0.014	0.272	0.074	0.021	0.002	0.009	0.039	0.012	0.002	0.014	0.009	0.017	0.007	0.025	0.006	0.021	0.012	0.035	0.005	0.57	0.653	0.044	0.021	0.043	0.002	0.061	0.04	0.002	0.007	0	0.003	0.005	0.038	0	0.013	0.423	0.015	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0.015	0.003	0.002	0.046	0.004	0	0.006	0.01	0	0	0	0	0	0	0	0	0
ASV_96	6.519	13.157	0.0029672801520402	0.0501470345694793	Enriched	0.507	0.011	0	0	0	0.001	0	0	0	0	0	0	0.002	0	0	0	0	0	0.005	0.31	24.25	0.309	0	0.039	0.001	0.104	0	0	0.002	0	0	0.001	0.003	0	0.144	0	0.001	0.112	0	0.014	0	0	0	0.001	0	0	0.009	0.004	0.001	0.001	0.005	0.013	0	0	0.167	0.015	0	0	0.001	0.001	0	0	0.001	0	0	0	0	0	0
ASV_82	3.522	10.964	0.00338449986221536	0.0519982251558541	Enriched	0.238	0.018	0.351	0.609	0.588	2.849	0.002	0.332	0.374	2.791	0.267	0.293	0.047	0.202	0.295	1.297	0.024	0.014	0	0.002	0.002	0.02	0	0.002	0.165	0	0.157	0	0.167	0.003	0.002	0.92	0.011	0.022	0.034	0.005	0.001	0.036	0.011	0	0.001	0	0	0.001	0	0	0	0	0.004	0	0	0	0.082	0.187	0.013	0.002	0.004	0.012	0	0	0	0	0.003	0	0	0	0	0	0.004
