feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ko00564	Group_dayE	HSmed	0.00440300407861583	0.00134718172979962	68	68	0.00171979431275407	0.050336282350208
ko05142	Group_dayE	HSmed	-0.00268727422121658	0.000849472958568846	68	68	0.00235727472597338	0.050336282350208
ko01051	Group_dayE	HSmed	-0.00308057295425129	0.000968131700480614	68	68	0.00223059422019403	0.050336282350208
ko00627	Group_dayE	HSmed	0.00472986383139054	0.00142777369652125	68	68	0.00150187028546676	0.050336282350208
ko00730	Group_dayE	HSmed	0.00356363315185109	0.000983801688771324	68	68	0.000567854135181572	0.050336282350208
ko05143	Group_dayE	HSmed	-0.00270049433375137	0.000847370572477554	68	68	0.00219793421088936	0.050336282350208
ko00643	Group_dayE	HSmed	0.00462039630758664	0.00133999626071108	68	68	0.000987765348124445	0.050336282350208
ko02030	Group_dayE	HSmed	-0.0133653162193736	0.00378371152006279	68	68	0.000757225420308488	0.050336282350208
ko00030	Group_dayE	HSmed	-0.00228817315569397	0.000715082954015059	68	68	0.00211426011673884	0.050336282350208
ko04113	Group_dayE	HSmed	-0.00399881087753234	0.00104929559702056	68	68	0.000306628629202382	0.050336282350208
ko02040	Group_dayE	HSmed	-0.015973452160221	0.00509482218421148	68	68	0.00256342178635319	0.050336282350208
ko00626	Group_dayE	HSmed	0.00433981093428945	0.00139883882847243	68	68	0.00282405256729566	0.0508329462113219
ko00563	Group_dayE	HSmed	-0.000600856946198658	0.000204120576663711	68	65	0.00447383316719825	0.0626350564234583
ko04973	Group_dayE	HSmed	-0.00297245584235615	0.000991799805473937	68	68	0.0038389547649131	0.0626350564234583
ko00450	Group_dayE	HSmed	-0.00261280564637666	0.000898031706691979	68	68	0.00492961092221662	0.0626350564234583
ko00350	Group_dayE	HSmed	0.00322828471331828	0.00109705410871789	68	68	0.00448599233231375	0.0626350564234583
ko00540	Group_dayE	HSmed	0.00564881412734148	0.00194089473597539	68	68	0.00491655259899428	0.0626350564234583
ko00565	Group_dayE	HSmed	-0.00290965671894537	0.00103419232188764	68	68	0.006450880786978	0.0750792150630448
ko04626	Group_dayE	HSmed	-0.00208214267992991	0.000742303196297556	68	68	0.00660419021387894	0.0750792150630448
ko00330	Group_dayE	HSmed	-0.00321901927327077	0.00116189716538949	68	68	0.00726272978363199	0.0784374816632255
ko04930	Group_dayE	HSmed	-0.000770979391828916	0.000286584868765202	68	68	0.00903462982391019	0.0929276210459334
ko04962	Group_dayE	HSmed	-0.000117077379568157	4.52258779539132e-05	68	61	0.0118384793836253	0.11623234303923
ko00053	Group_dayE	HSmed	-0.00312622011650114	0.00127776265783147	68	68	0.0170909247428105	0.147665589777882
ko00790	Group_dayE	HSmed	0.00246929224422809	0.000997498029838064	68	68	0.015880015094911	0.147665589777882
ko00650	Group_dayE	HSmed	0.00241229804563692	0.000983270483998863	68	68	0.0168023199654233	0.147665589777882
ko00480	Group_dayE	HSmed	0.00536620461486043	0.00222786667255081	68	68	0.0188103147150582	0.15627030686356
ko00642	Group_dayE	HSmed	0.00456489901572516	0.00191958961563927	68	68	0.0203079191434577	0.162463353147661
ko00195	Group_dayE	HSmed	0.00213722425162109	0.000918648592545987	68	68	0.0230724843882184	0.172202507780993
ko00941	Group_dayE	HSmed	0.00284308109362082	0.00122248678679996	68	68	0.023119781137263	0.172202507780993
ko00983	Group_dayE	HSmed	-0.00251999808703871	0.00110191042707603	68	68	0.0254141564568828	0.178611654460307
ko04144	Group_dayE	HSmed	0.000329705812389149	0.000144393196327595	68	65	0.0256340800382848	0.178611654460307
ko00300	Group_dayE	HSmed	-0.00265057701968256	0.00117176837898281	68	68	0.0269943498155018	0.182211861254637
ko05322	Group_dayE	HSmed	0.00327028619805225	0.00148398505823825	68	68	0.0310379737062699	0.191548637730123
ko00100	Group_dayE	HSmed	0.000741186169193932	0.000335682135740863	68	50	0.030723976412915	0.191548637730123
ko00051	Group_dayE	HSmed	-0.00460219637406326	0.00207016835349096	68	68	0.0296384233713812	0.191548637730123
ko00590	Group_dayE	HSmed	0.00255592415898713	0.00120477301942546	68	68	0.0376391228456196	0.193572631777472
ko03060	Group_dayE	HSmed	-0.000729624464690472	0.000334159445352989	68	68	0.0325622793848837	0.193572631777472
ko00380	Group_dayE	HSmed	0.00258388703052416	0.00121216159935052	68	68	0.0367641192280801	0.193572631777472
ko04910	Group_dayE	HSmed	-0.00167886488628296	0.000780455901804711	68	68	0.0351308788821757	0.193572631777472
ko00430	Group_dayE	HSmed	0.00119317667865274	0.000552120905178261	68	68	0.0343224895022717	0.193572631777472
