ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DS00P030	DS00P037	DS00P049	DS00P054	DS00P060	DS00P065	DS00P076	DS00P119	DS00P138	DS00P140	DS00P166	DS00P172	DS00P180	DS00P191	DS00P193	DS00P194	DS00P196	DS03P016	DS03P017	DS03P030	DS03P037	DS03P049	DS03P054	DS03P060	DS03P065	DS03P076	DS04P86	DS05P114	DS04P138	DS06P140	DS06P180	DS04P194	DS05P196	DS03P237	DS03P239	DS03P245	DS03P272	DS03P279	DS03P288	DS03P295	DS03P298	DS03P312	DS03P313
ASV_1	-0.842	17.418	0.580085500575516	0.899398620158369	NotSig	2.098	3.761	3.553	11.285	1.198	0.126	0.622	8.055	0.426	0.477	0.214	0.266	2.606	0.008	1.27	0.572	0.704	2.556	1.72	13.375	10.78	5.455	11.016	0.352	0.839	0.042	9.19	4.258	0.091	17.509	0.073	1.777	0.184	11.853	0.645	2.035	1.311	0.188	1.611	0.516	0.195	0.254	0.698	2.843	0.699
ASV_2	-1.228	17.812	0.834600106152855	0.987674768429551	NotSig	1.609	3.769	3.306	5.212	1.239	0.389	1.158	8.479	2.303	0.005	0.315	0.246	0.112	0.003	0.034	2.5	0.058	1.138	0.86	8.236	5.475	4.824	5.822	0.191	1.129	0.053	14.134	22.539	0.001	0.019	0.008	0.184	23.014	7.219	0.685	1.718	1.999	0.052	0.479	0.036	0.07	0	0.001	0.074	0.029
ASV_4	0.499	17.069	0.4188766104659	0.879648483156521	NotSig	1.582	1.12	13.746	1.172	8.037	0.107	2.858	0.664	0.103	0	0.013	0.042	0.038	0.002	0.001	0.004	0	0.017	0.092	0.856	4.704	10.376	4.79	0.464	0.698	0.023	1.849	0.138	0.004	0	0.105	0.134	0.012	0	0.107	0.548	0.128	0.084	0.951	0.147	0.168	0.002	0	0	2.824
ASV_3	-0.723	18.011	0.551051880511456	0.895966634178248	NotSig	1.949	3.216	1.491	2.597	11.886	0.113	0.133	3.168	0.05	0.016	0.201	0.003	0.001	0	0.869	4.664	0.01	2.533	5.398	3.285	5.389	1.277	2.272	0.12	26.412	0.068	1.318	0.073	0.027	19.546	0.024	3.496	2.695	5.479	10.227	0.584	0.187	0.045	0.261	0.006	0.107	0	0.201	0.498	0.032
ASV_5	0.969	15.645	0.775104708174568	0.977557430458971	NotSig	1.159	0.592	2.526	2.256	0.741	0.277	3.879	4.021	0.342	0.031	0.179	0	0.066	0.002	0.023	5.125	0.017	0.191	0.024	0.766	2.048	1.85	2.618	0.518	0.23	0.052	0.105	0.205	0.028	0.035	0.006	0.004	0.352	0	0.408	0.2	0.075	3.02	0.486	0.133	2.007	0	0.049	0.133	0.062
ASV_11	0.665	17.484	0.409432549229074	0.879648483156521	NotSig	2.259	1.425	0.097	0.118	1.046	1.54	1.587	0.107	0.909	0.443	7.628	18.333	0.629	0.638	1.228	0.944	1.225	1.855	0.073	0.682	0.63	0.1	0.135	1.008	1.328	0.14	0.007	0.146	1.019	5.672	5.276	1.264	0.005	0.119	0.264	0.038	0.638	0.116	0.428	0.502	1.394	4.821	6.548	4.563	0.2
ASV_7	0.501	17.261	0.221482084682292	0.832175191030374	NotSig	2.284	1.613	0.225	1.159	2.166	1.215	2.326	0.067	15.708	2.554	1.428	2.257	1.217	1.246	2.389	0.683	2.482	1.654	0.046	0.952	0.58	0.294	0.511	3.51	4.211	7.542	0.001	0.371	2.612	0.268	0.163	2.323	0.001	0.191	0.068	0.566	0.466	0.861	1.301	6.23	5.342	0.596	1.723	1.238	0.021
ASV_6	-0.118	16.751	0.626548071978603	0.904563854045683	NotSig	0.94	1.019	1.882	10.313	0.056	0.002	0.043	3.345	0.035	0	0	0	0.01	0	0.014	0.239	0	0.005	0.029	3.293	3.202	2.645	11.033	0.015	0.41	0.002	5.377	0.041	0.001	0.018	0.001	0	0.042	0.144	0.026	0.001	0.058	0.001	0.146	0.021	0.021	0	0	0	0.007
ASV_8	0.927	16.03	0.452836793104245	0.879648483156521	NotSig	1.632	0.859	0.475	0.287	0.097	3.057	0.245	0.143	5.795	1.884	4.048	0.004	0.006	1.574	3.404	6.69	0.01	0.027	0.003	1.461	1.262	0.385	0.547	0.152	2.535	0.001	0	0.284	0.003	0.037	0.389	0.003	0.028	0.004	0.031	0.1	0.164	1.038	1.541	0.55	2.874	5.655	1.016	2.224	0.042
ASV_9	0.266	15.875	0.342727489719851	0.879648483156521	NotSig	1.431	1.19	0.228	0.195	3.012	1.069	3.141	0.648	2.231	1.124	4.441	0.006	0.104	0.026	2.06	1.636	1.205	1.118	2.075	2.666	0.89	0.186	0.293	0.241	2.585	0.06	0.028	0.148	0.471	0.931	0.792	0.403	0.003	1.789	1.933	0.138	0.831	0.529	6.011	0.743	4.725	0.602	0.778	0.557	2.6
