GroupID	Group_dayE	State	Site	Site_1	Statesite	Statesite_1	Day_1	DayE
DGpre	DGpre	D	G	E	DG	DE	pre	pre
DEmed	DEmed	D	E	E	DE	DE	med	post
DEpost	DEpost	D	E	E	DE	DE	post	post
DSpre	DSpre	D	S	S	DS	DS	pre	pre
DSmed	DSmed	D	S	S	DS	DS	med	post
DSpost	DSpost	D	S	S	DS	DS	post	post
HGpre	HGpre	H	G	E	HG	HE	pre	pre
HEmed	HEmed	H	E	E	HE	HE	med	post
HEpost	HEpost	H	E	E	HE	HE	post	post
HSpre	HSpre	H	S	S	HS	HS	pre	pre
HSmed	HSmed	H	S	S	HS	HS	med	post
HSpost	HSpost	H	S	S	HS	HS	post	post
IGpre	IGpre	I	G	E	IG	IE	pre	pre
IEmed	IEmed	I	E	E	IE	IE	med	post
IEpost	IEpost	I	E	E	IE	IE	post	post
ISpre	ISpre	I	S	S	IS	IS	pre	pre
ISmed	ISmed	I	S	S	IS	IS	med	post
ISpost	ISpost	I	S	S	IS	IS	post	post
